muon phi, muon eta, electron pt, electron phi, electron eta, jet 1 pt, jet 1 phi, jet 1 eta, jet 2 pt, jet 2 phi, jet 2 eta, gen muon pt
0.643491, -2.08862, 138.26, -2.48061, -1.88857, 72.4412, 1.62898, -0.501644, 11.8399, -0.664084, -0.304766, 49.4422
 3.06884, -0.485203, 91.8324, 2.55355, 0.453819, 78.1167, -2.6212, 1.46304, 10.92, -0.419541, -2.11801, 26.7335
 0.472519, 2.2467, 47.9041, 0.230399, 0.503084, 94.5254, -2.16708, 0.711384, 10.4312, 3.03759, 0.198714, 45.9846
 -1.24555, 1.92224, 57.6833, -3.07016, 0.856794, 109.146, 2.15608, -1.15571, 11.6564, 2.97189, -2.09552, 46.7025
 -1.01077, 1.43811, 32.2383, -0.644951, 0.541714, 173.206, -0.337403, -0.105231, 10.9046, 0.544794, -1.34029, 25.1131
 -0.911783, 2.33547, 46.3356, 1.75941, 0.428292, 108.671, -2.77432, 1.37852, 11.1973, 1.15356, 2.1545, 29.0121
 0.665928, -0.508141, 37.467, -0.453863, -2.23236, 41.9648, -2.12641, 0.714062, 11.2723, 2.59256, 2.72074, 46.1057
 -2.2822, -0.557116, 241.528, 0.663779, 0.0342249, 122.983, 1.38277, 1.36235, 10.0851, 2.27376, -0.257679, 120.942
 2.48871, 1.12756, 37.0363, -0.764328, -1.88131, 61.1258, 3.02507, -0.381156, 10.4989, -1.23424, 2.70345, 49.2645
 -2.35965, 2.41049, 46.2414, -1.01031, -0.13151, 57.4908, 0.654208, 1.6595, 10.0247, -1.71163, -1.88131, 29.3025
 2.1934, -0.93672, 130.965, -0.229008, -0.851711, 54.6044, 2.516, -0.409773, 10.0956, 2.34666, -1.49754, 20.5563
 0.817239, 0.782723, 28.5421, -1.11315, 1.71081, 51.1066, 0.484357, -1.30375, 11.1904, -0.359931, 2.59884, 5.38632
 -1.70109, 0.0569693, 114.538, 1.87846, -2.01072, 159.068, -1.02474, 0.125205, 10.1578, -2.81914, -2.61082, 146.219
 2.46275, 2.02536, 40.9131, 3.04766, 0.120319, 59.2054, -1.13569, 1.96518, 10.0552, 2.29477, 2.78446, 85.0637
 0.826261, -0.838784, 58.1627, -2.7811, 0.213643, 119.756, -0.259524, 0.483858, 10.3277, 3.07481, 1.37384, 16.4744
 1.02182, -1.49816, 66.911, -0.787257, 2.18114, 64.8099, 0.532921, 0.796314, 11.0352, -0.179809, 0.244864, 10.5223
 -2.79162, -1.6658, 43.3382, 1.00959, 0.171149, 67.4803, -2.61046, -2.44145, 10.2451, 1.04022, 1.45346, 104.29
 -1.11876, 0.684715, 28.9681, -3.11911, 1.79496, 80.738, 1.68029, -1.31916, 10.0902, -2.04085, 2.8172, 27.5131
 -0.081092, 1.51033, 60.7604, 3.05661, 2.37617, 130.54, 2.41295, 2.29958, 11.9611, -1.57645, 2.58427, 20.0206
 -2.81636, -0.955852, 85.8836, -0.123864, -0.845496, 169.934, -1.92542, -1.15863, 10.1563, -0.541875, 2.11037, 72.3362
 -2.29847, 0.620049, 34.0161, 1.25568, -0.657256, 62.6636, -2.00185, 0.0335861, 10.8813, -2.92744, -0.507396, 48.4543
 1.77423, 0.368679, 41.89, 1.34007, 0.815907, 94.2995, -2.62763, 0.441053, 10.0112, -2.14314, 0.412506, 38.1128
 -2.603, 1.13989, 44.4396, -0.485771, 2.38127, 135.625, 3.11112, -0.114082, 10.61, -1.21019, 1.08134, 7.29796
 -0.301357, -1.8294, 43.5352, -1.77094, 0.086203, 69.2131, 2.96831, -0.708253, 10.0351, 0.121576, 2.53766, 40.8143
 -0.206097, 0.174081, 67.1017, 2.31251, -1.78329, 101.233, -1.80222, -1.80543, 10.812, 2.65072, 2.61095, 37.529
 -2.57852, 0.105383, 29.0315, -1.79483, -1.70678, 143.551, 0.296456, -1.24717, 11.541, 1.84011, -1.02105, 211.401
